gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.0383983583845249,0.011435713352129508,-0.03839268069533395,0.01145508523629031,245.0832,244.7708,245.952,244.60480000000004,-0.9596340347666973,0.28667587803648453,0.00018632415192655256,0.00041774659002240776,6134.34,6117.74,6176.8,6112.56,((0)-((x)*(x))),((8)-((0)+(x))),FellTreeD|DeleteNonTerminalR|SubXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|ReplaceBranchXR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,FellTreeD,ReplaceBranchXR,21,21,22,22,4
22,x*x*x*x,25,-10,-0.038393753757678735,0.011434698078682526,-0.03838889034113188,0.011448923576750007,245.78779999999998,244.7795,246.532,244.65759999999997,-0.9596340347666973,0.28649849692850615,0.00018951771010322638,0.00021570320918965462,6162.3,6118.48,6176.8,6114.08,((0)-((x)*(x))),((0)+((6)+(x))),FellTreeD|DeleteNonTerminalR|SubXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,FellTreeD,ReplaceBranchXR,22,22,23,23,4
23,x*x*x*x,25,-10,-0.03839384786302444,0.011440638011837858,-0.03838875441118808,0.011464654480273355,245.7734,244.7286,246.55280000000002,244.52280000000002,-0.9596340347666973,0.2867645685904737,0,0.0003851343680346285,6176.8,6116.4400000000005,6176.8,6111.8,((0)-((x)*(x))),((9)+((0)+(x))),FellTreeD|DeleteNonTerminalR|SubXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,FellTreeD,ReplaceBranchXR,23,23,24,24,4
24,x*x*x*x,25,-10,-0.03839446608286498,0.011434382993819669,-0.03838875441118808,0.01144014787982897,245.67880000000002,244.78220000000002,246.55280000000002,244.73280000000003,-0.9596340347666973,0.2859476819089942,0.00016965102600957627,0.00011669809735423421,6163.82,6119.3,6176.8,6118.8,((0)-((x)*(x))),((0)+(x)),FellTreeD|DeleteNonTerminalR|SubXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,FellTreeD,AddTreeWithMult,24,24,25,25,4
25,x*x*x*x,25,-10,-0.03839825643706705,0.011432049031872586,-0.03839294209907202,0.01144014787982897,245.0988,244.80219999999997,245.912,244.7328,-0.9596340347666973,0.2861717422559143,0.0001696510260095763,0.0002194089753231439,6137.860000000001,6119.32,6176.8,6116.88,((0)-((x)*(x))),((x)+((0)+(x))),FellTreeD|DeleteNonTerminalR|SubXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,DeleteNonTerminalR,AddTreeWithMult,25,25,26,26,4
26,x*x*x*x,25,-10,-0.03839437328453797,0.011440673021267065,-0.03838869428832833,0.011457979349104695,245.69299999999998,244.7283,246.562,244.58,-0.9596340347666973,0.28649849692850615,0.00016965102600957627,0.0003969931372373154,6163.82,6116.9400000000005,6176.8,6114.08,((0)-((x)*(x))),((6)-((0)+(x))),FellTreeD|DeleteNonTerminalR|SubXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,SubXD,ReplaceBranchXR,26,26,27,27,4
27,x*x*x*x,25,-10,-0.03839466474970592,0.011437708889594268,-0.038385361390667894,0.011450697387829792,245.6484,244.75369999999998,247.072,244.64239999999998,-0.9596340347666973,0.2865871874824954,0.00016965102600957627,0.0003197527867505878,6163.82,6117.43,6176.8,6113.32,((0)-((x)*(x))),((7)+((0)+(x))),FellTreeD|DeleteNonTerminalR|SubXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,FellTreeD,ReplaceBranchXR,27,27,28,28,4
28,x*x*x*x,25,-10,-0.03839934453012678,0.011437207087775642,-0.038395284276565154,0.011456392254980676,244.93230000000003,244.75800000000004,245.55360000000002,244.5936,-0.9596340347666973,0.28649849692850615,0.00019379045839306843,0.00027540750975596495,6132.34,6117.620000000001,6176.8,6114.08,((0)-((x)*(x))),((6)-((0)+(x))),FellTreeD|DeleteNonTerminalR|SubXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,AddXD,AddTreeWithMult,28,28,29,29,4
29,x*x*x*x,25,-10,-0.038398421121422034,0.011434289635341788,-0.0383958070840413,0.011442388483298172,245.0736,244.783,245.4736,244.7136,-0.9596340347666973,0.2859476819089942,0.0002120650881840772,0.00011669809735423421,6148.84,6119.3,6176.8,6118.8,((0)-((x)*(x))),((0)+(x)),FellTreeD|DeleteNonTerminalR|SubXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,FellTreeD,ReplaceBranchXR,29,29,30,30,4
30,x*x*x*x,25,-10,-0.03839747091883414,0.011436040106802098,-0.038392147431708275,0.011450884104785558,245.21900000000002,244.768,246.0336,244.64079999999998,-0.9596340347666973,0.28649849692850615,0.0002120650881840772,0.00033300765348533075,6148.84,6118.120000000001,6176.8,6114.08,((0)-((x)*(x))),((6)+((0)+(x))),FellTreeD|DeleteNonTerminalR|SubXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,FellTreeD,ReplaceBranchXR,30,30,31,31,4
