gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
50,x*x*x*x,25,-10,-0.017901993834493285,0.011601401310753032,0.015113313959704895,0.012097858356517359,7289.1626,243.35100000000003,23181.594399999998,239.0968,0.8837209302325582,0.33642661090053594,0.8976531605451163,0.02503178569636635,340331.34,6007.6900000000005,1315972,5686.24,((((x)*(x))*((x)*(x)))+((x)*((6)*((9)*(2))))),(((x)+(4))*((7)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SkipD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|ReplaceBranchR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,50,50,51,51,1
51,x*x*x*x,25,-10,-0.01622255439373727,0.01163908312638871,0.015977696927764455,0.012089316055791029,5219.080599999999,243.02810000000002,13215.1296,239.17,0.6843986943321124,0.317932296431839,0.7461826821682391,0.014927789259058319,253782.47999999998,6036.22,484852.24,5844.72,((((x)*(x))*((9)*((3)+(2))))*((5)*((6)*((x)+(x))))),(((x)*(7))*((6)*(7))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,51,51,52,52,1
52,x*x*x*x,25,-10,-0.02646266429908395,0.011422211382265625,-0.0029896455638694576,0.011595589745504791,2433.6425999999997,244.8865,7111.962400000001,243.40079999999998,0.6046007092484468,0.29301491868476587,0.7823464568178766,0.00547116126793199,101330.31999999999,6116.92,387001.2,6058.24,((((6)*(6))*((x)*((x)*(7))))+((8)*((4)*((5)+(x))))),(((x)*(8))+((1)*(4))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,52,52,53,53,1
53,x*x*x*x,25,-10,-0.03281290939666473,0.011481178930858715,-0.025508997408904353,0.011591715368672633,1110.8440999999998,244.38119999999998,2261.7152,243.43400000000003,0.1562909531364892,0.2919086207218478,0.4648204467574423,0.0026828585479721483,88753.18,6100.76,181365.84,6067.72,((((0)+(x))*((6)*(x)))*((x)*((6)*((8)+(7))))),(((9)*(9))+((4)+(0))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SkipD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,53,53,54,54,1
54,x*x*x*x,25,-10,-0.02547608136563931,0.011462448886233361,-0.003475378432020696,0.011625184382993823,2687.8108999999995,244.54170000000002,7306.3912,243.1472,0.6376828752001955,0.29067628881378726,0.8067703288314547,0.0020630652616490425,163612.78,6101.95,422337.2,6078.28,((((x)*(x))*((5)+((2)*(x))))*((2)*((x)*((5)+(x))))),(((x)+(7))*((3)*(3))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,54,54,55,55,1
55,x*x*x*x,25,-10,-0.024113237627590135,0.011598693914894414,0.002409054456310469,0.012160315178221337,4157.5269,243.37419999999997,13395.571600000001,238.5616,0.8064980048884608,0.3182403794088542,0.8019249180858483,0.01486110653626268,229021.24,6032.74,790792.88,5842.08,((((x)*(x))*((x)*((x)*(7))))+((x)*((4)*((2)+(x))))),((x)*((x)*(5))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,55,55,56,56,1
56,x*x*x*x,25,-10,-0.03612346752058554,0.011488904344903563,-0.032012531695203246,0.011756072968986318,593.187,244.315,1222.2424,242.02559999999997,-0.32092380081035154,0.2933696809007227,0.29688385045194843,0.003600131574926595,41736.4,6100.7,103912.24,6055.2,((((8)-(3))*((5)*((9)*(x))))*((9)*((8)+((3)+(x))))),((x)*((x)+(5))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,56,56,57,57,1
57,x*x*x*x,25,-10,-0.03053366516949736,0.011480548761133002,-0.018907584478799793,0.011695856750751538,1448.7075999999997,244.38660000000004,3228.2376,242.5416,0.020801348225104942,0.2941165487237897,0.46257154736957384,0.004022117149352173,57233.119999999995,6093.09,156270.64,6048.8,((((9)*(8))*((4)*((9)-(7))))*((x)*((5)+((7)+(x))))),((4)*((8)*(4))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateNonTerminalR,57,57,58,58,1
58,x*x*x*x,25,-10,-0.020723541495074896,0.011464292716171559,0.007934418626969421,0.011566928692794597,4414.6184,244.5259,12225.303999999998,243.6464,0.7663558536852012,0.28946262860130334,0.7692729697741514,0.0014655317345360888,285682.2,6105.889999999999,654927.6,6088.68,((((x)*(x))*((3)*((9)*(x))))*((x)*((2)+((2)+(x))))),((7)*((6)+(7))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|MutateTerminalR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateNonTerminalR,58,58,59,59,1
59,x*x*x*x,25,-10,-0.021320317716407983,0.011522945179901791,-0.0021416478729570877,0.011931866982840716,4834.2946999999995,244.0233,11216.233600000001,240.51919999999998,0.8038509913587786,0.3064398678043954,0.80887017640885,0.009681612128703034,375020.91,6061.42,780121.2,5943.2,((((x)*(8))+((5)*((6)*(6))))*((5)*((6)*((x)+(x))))),((6)*((8)*(9))),AddTreeWithMult|SkipD|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,59,59,60,60,1
60,x*x*x*x,25,-10,-0.026824463500523494,0.011477339563455763,-0.007775360210432761,0.011567348805945071,2046.26,244.41410000000005,5051.572,243.6428,0.013799841713005644,0.2940045185503296,0.416459707879844,0.004048241803000692,64291.8,6101.790000000001,155161.2,6049.76,((((5)+(7))*((9)-((1)*(5))))*((6)*((x)*((x)+(x))))),((x)*((x)+(8))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,60,60,61,61,1
61,x*x*x*x,25,-10,-0.026900725843907368,0.011516293388352599,-0.012665240686177935,0.011703512145937976,14431.107100000001,244.0803,52521.4928,242.476,0.9702026337740508,0.3000214724499133,1.0214816132155007,0.006350301150875011,1381867.12,6065.219999999999,5135353.2,5998.2,((((8)*(x))*((7)*((6)+(9))))*((x)*((x)*((x)+(x))))),((9)*((3)*(9))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DivXD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateNonTerminalR,61,61,62,62,1
62,x*x*x*x,25,-10,-0.02803758431996906,0.011473651903579367,-0.007125838521544005,0.01160361857460276,2063.9904,244.4457,5964.410400000001,243.332,0.5073917633275927,0.2928375375767874,0.6161647430573639,0.0036460709013148873,118154.12,6106.540000000001,310632.24,6059.76,((((8)*(2))*((3)+((8)*(4))))*((x)*((x)*((x)+(x))))),((x)*((7)*(5))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateNonTerminalR,62,62,63,63,1
63,x*x*x*x,25,-10,-0.03348943060843443,0.01145200440652016,-0.021323499456349138,0.011534626659446948,1029.8210000000001,244.63119999999998,2992.1728000000003,243.9232,0.2555988192324233,0.28967268517654093,0.5847332204390419,0.0020055542754345073,62580.69,6110.83,205561.2,6086.88,((((x)*(4))*((0)+((9)*(3))))*((x)*((5)*((7)+(x))))),((7)*((7)+(3))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,63,63,64,64,1
64,x*x*x*x,25,-10,-0.035417739511175016,0.01144458240752843,-0.02598447261795844,0.011597877028212933,701.1775,244.6948,2144.656,243.38120000000004,-0.40447680041824596,0.29163321321209185,0.2851388288226264,0.002918787776880127,25722.020000000004,6107.32,91126.96,6070.08,((((0)-(5))*((x)*((3)+(6))))*((x)*((5)*((x)+(x))))),((6)+((4)*(8))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateNonTerminalR,64,64,65,65,1
65,x*x*x*x,25,-10,-0.020188363001154473,0.011471516328397784,0.01308018404789474,0.011640821928039289,4092.1209999999996,244.46399999999997,11950.503200000001,243.01319999999998,0.402175017151037,0.29114308120320415,0.754078270596555,0.0025212450411543027,135534.6,6106.18,255961.2,6074.28,((((x)*(5))+((8)*((8)*(5))))*((x)*((8)+((1)+(x))))),((8)*((9)+(1))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,65,65,66,66,1
66,x*x*x*x,25,-10,-0.026776366379118236,0.011442120077674258,-0.010871483088558833,0.011592602274212525,2393.2886000000003,244.7159,5287.7771999999995,243.4264,0.5137360199900192,0.29200664712362534,0.8164085733763536,0.003114876619172601,157501,6106.9,314685.04,6066.88,((((x)*(x))*((9)*((3)*(0))))+((7)*((9)*((x)+(x))))),((x)-((1)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithAdd,AddTreeWithMult,MutateTerminalR,66,66,67,67,1
67,x*x*x*x,25,-10,-0.018499139998157957,0.011496466381612115,0.016636303685318776,0.011644836342588272,9593.5114,244.2502,33880.286400000005,242.97880000000004,0.9348958887319598,0.2987658009223818,0.8949603973743576,0.005659687203540619,612288.36,6078.58,2350389.2,6008.96,((((x)*(x))*((5)*((7)*(x))))*((x)*((9)+((2)+(x))))),((x)*((2)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,67,67,68,68,1
68,x*x*x*x,25,-10,-0.027462284734860728,0.011465926489534518,-0.01413039671767648,0.011644789663349333,2223.7044,244.51190000000003,5066.9456,242.9792,0.5627653210437491,0.28895382489683896,0.6611168461810596,0.0013719170474341242,165435.72,6109.3,349972.24,6093.04,((((7)+(7))*((5)*((9)-(0))))*((x)*((x)*((x)+(x))))),((x)*((8)+(7))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,68,68,69,69,1
69,x*x*x*x,25,-10,-0.03136382760423474,0.011476464327725604,-0.01637441380211737,0.011578085030901662,1321.5071000000003,244.4216,3615.1872000000003,243.5508,-0.233405829303359,0.2928375375767874,0.34326977131451225,0.003153783731400687,41613.740000000005,6099.969999999999,117304.24,6059.76,((((x)*(x))*((x)*((3)*(9))))*((0)+((7)+((1)+(x))))),((x)*((5)*(7))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,69,69,70,70,1
70,x*x*x*x,25,-10,-0.03133514145455459,0.011459671471516332,-0.021773578867619988,0.01163148608025095,1342.5212,244.5655,2854.4056,243.0932,0.18646540431106343,0.29447597886364063,0.618883871686059,0.004411230683851077,89416.73999999999,6100.83,188092.8,6045.72,((((3)+(8))*((x)*((3)+(6))))*((5)*((7)*((x)+(x))))),((9)*((5)*(3))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,70,70,71,71,1
71,x*x*x*x,25,-10,-0.03399181871650765,0.011432235748828354,-0.02334411972291204,0.011521043000914917,919.3719,244.8006,2548.6828,244.03959999999998,-0.19681610247026535,0.29065294919431645,0.37936431098932294,0.0034921094001713355,35840.32,6109.22,122903.2,6078.48,((((x)*(3))*((8)*((2)*(6))))*((1)*((x)*((8)+(0))))),((7)*((9)+(3))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,71,71,72,72,1
72,x*x*x*x,25,-10,-0.029292849974764463,0.011429750079354708,-0.0059720769347394575,0.011513807718878954,9983.6387,244.82190000000003,38587.8752,244.1016,0.9579345638850654,0.28895382489683896,0.9117447053289038,0.0017418029268473883,925610.44,6110.26,3637665.84,6093.04,((((4)*(6))*((3)*((9)*(x))))*((x)*((6)+((4)*(x))))),((x)*((6)+(9))),AddTreeWithMult|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithMult|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,72,72,73,73,1
73,x*x*x*x,25,-10,-0.02556584604612764,0.011461830386317384,0.0013524882504652625,0.011617715704763155,2398.5058999999997,244.54699999999997,7086.9244,243.2112,0.46535730567474554,0.2933696809007227,0.6825005028154487,0.004594659050997468,85242.70000000001,6101.87,286209.84,6055.2,((((6)+(2))*((7)*((2)*(4))))+((1)*((9)*((x)*(9))))),((x)*((5)+(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateNonTerminalR,73,73,74,74,1
74,x*x*x*x,25,-10,-0.031722126351193855,0.011551127770412832,-0.01666204611840763,0.011734787236028908,1330.7488,243.7818,3827.448,242.208,0.3339809848132692,0.2933696809007227,0.6381025642065754,0.0039646374823856245,64317.64000000001,6079.13,229753.2,6055.2,((((5)+(4))+((4)*((4)*(x))))*((9)*((9)*((x)+(x))))),((x)+((5)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|SkipD|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateNonTerminalR,74,74,75,75,1
75,x*x*x*x,25,-10,-0.035305369232780034,0.011803125641839537,-0.027171188079989545,0.012667998580951141,718.3724000000001,241.62239999999997,1963.0647999999999,234.2112,-0.18929028885113056,0.34400731930466616,0.3768841756889914,0.026879137286173388,37709.46,5830.209999999999,124054.8,5621.28,((((x)*(3))*((9)*((6)*(3))))-((9)+((7)*((x)+(x))))),((x)*((9)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|MutateTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,75,75,76,76,1
76,x*x*x*x,25,-10,-0.029504527793920148,0.011735814179285623,-0.019208376279516274,0.012182721212913345,2424.4770000000003,242.1992,6328.4928,238.3696,0.7363507134416546,0.34400731930466616,0.7862694347795273,0.03008340168183184,210852.36000000002,5896.24,580392.24,5621.28,((((x)*(x))*((4)*((4)+(9))))*((4)*((5)*((x)+(x))))),((x)*((9)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|SkipD|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddXD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,76,76,77,77,1
77,x*x*x*x,25,-10,-0.028782805579647186,0.005849048677110371,-0.009809201667693435,0.011765222099818886,4854.7172,310.29269999999997,17172.844399999998,241.9472,0.9010348717877078,0.2987658009223818,0.8376681865087022,0.005619629159505444,415607.8,6073.82,1546201.2,6008.96,((((x)*(5))*((8)*((9)*(x))))*((4)+((7)*((7)+(x))))),((x)*((2)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|SkipD|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateNonTerminalR,77,77,78,78,1
78,x*x*x*x,25,-10,-0.028663361689166066,0.01149877700393973,-0.0013395923585463798,0.011631065967100476,5951.090999999999,244.2304,22781.25,243.0968,0.9130026544253483,0.29224937916612215,0.9384921796555069,0.0030575293467368513,443926.65,6087.48,1758904.24,6064.8,((((8)*(7))*((9)*((6)*(x))))+((5)*((x)*((x)+(x))))),((x)*((1)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|MutateTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,78,78,79,79,1
79,x*x*x*x,25,-10,-0.026265918486266658,0.0119191118807999,-0.002563209468444272,0.013212465223966992,3128.2160000000003,240.62849999999997,9768.4168,229.54559999999998,0.7544118241831328,0.3375655843307132,0.846534219543562,0.02661196973246585,162947.11,5925.11,623075.6,5676.48,((((x)*(8))+((5)*((2)*(6))))*((9)*((8)*((x)+(x))))),((x)*((8)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|MutateTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,79,79,80,80,1
