gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
20,x*x*x*x,25,-10,-0.038400000000000004,0.011435433276695859,-0.038400000000000004,0.011449110293705773,244.832,244.7732,244.832,244.65600000000003,-0.9600000000000001,0.2863958026028344,0,0.0002145214499145925,6120.8,6117.360000000001,6120.8,6114.96,(0),(((x)+(0))+((x)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|SubXD|DeleteNonTerminalR,AddTreeWithAdd|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,FellTreeD,AddTreeWithAdd,20,20,21,21,0
21,x*x*x*x,25,-10,-0.038400000000000004,0.011444804133913404,-0.038400000000000004,0.011456672330414325,244.832,244.6929,244.832,244.59120000000001,-0.9600000000000001,0.28667587803648453,0,0.00030808297701513454,6120.8,6116.280000000001,6120.8,6112.56,(0),((0)+((8)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|SubXD|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteTerminalR,DeleteMaliciousR,21,21,22,22,0
22,x*x*x*x,25,-10,-0.038400000000000004,0.01144679967137816,-0.038400000000000004,0.011471516328397784,244.832,244.6758,244.832,244.46400000000003,-0.9600000000000001,0.2872920439905149,0,0.0006435643497438145,6120.8,6115.4400000000005,6120.8,6107.28,(0),(((x)*(6))+((0)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|SubXD|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteTerminalR,DeleteMaliciousR,22,22,23,23,0
23,x*x*x*x,25,-10,-0.038400000000000004,0.011445912765838269,-0.038400000000000004,0.011457279160520568,244.832,244.6834,244.832,244.586,-0.9600000000000001,0.2867645685904737,0,0.0005375616502271967,6120.8,6115.76,6120.8,6111.8,(0),((0)+((9)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteTerminalR,AddXD,23,23,24,24,0
24,x*x*x*x,25,-10,-0.038400000000000004,0.011447593218440168,-0.038400000000000004,0.011462087122131563,244.832,244.669,244.832,244.5448,-0.9600000000000001,0.2868205836772038,0,0.00030851881313699294,6120.8,6113.74,6120.8,6111.32,(0),(((0)+(7))+((x)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|DeleteNonTerminalR|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteNonTerminalR,DeleteMaliciousR,24,24,25,25,0
25,x*x*x*x,25,-10,-0.038400000000000004,0.011447826614634877,-0.038400000000000004,0.011486453684859123,244.832,244.667,244.832,244.33599999999998,-0.9600000000000001,0.2879268816401218,0,0.0009580963542145816,6120.8,6114.08,6120.8,6101.84,(0),(((x)*(9))+((0)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|DeleteNonTerminalR|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteNonTerminalR,DeleteMaliciousR,25,25,26,26,0
26,x*x*x*x,25,-10,-0.038400000000000004,0.01144338041712568,-0.038400000000000004,0.011471329611442017,244.832,244.7051,244.832,244.46559999999997,-0.9600000000000001,0.28706798364359476,0,0.0007179807169773449,6120.8,6116.88,6120.8,6109.2,(0),(((x)*(5))+((0)+(x))),DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteNonTerminalR|DeleteNonTerminalR,DeleteMaliciousR|AddXD|MutateTerminalR|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteNonTerminalR,AddXD,26,26,27,27,0
27,x*x*x*x,25,-10,-0.038400000000000004,0.01144677633175869,-0.038400000000000004,0.011462833989954633,244.832,244.67600000000002,244.832,244.5384,-0.9600000000000001,0.2866432025692254,0,0.0001074298793360862,6120.8,6113.9400000000005,6120.8,6112.84,(0),(((0)+(5))+((x)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|DeleteNonTerminalR|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|FellTreeD|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteNonTerminalR,DeleteMaliciousR,27,27,28,28,0
28,x*x*x*x,25,-10,-0.038400000000000004,0.011442166756913197,-0.038400000000000004,0.011462553914520978,244.832,244.7155,244.832,244.5408,-0.9600000000000001,0.28751610433743496,0,0.0006930098604286368,6120.8,6113.780000000001,6120.8,6105.36,(0),(((x)*(7))+((0)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|DeleteNonTerminalR|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteNonTerminalR,AddXD,28,28,29,29,0
29,x*x*x*x,25,-10,-0.038400000000000004,0.011443660492559331,-0.038400000000000004,0.011462787310715688,244.832,244.7027,244.832,244.5388,-0.9600000000000001,0.2868205836772038,0,0.00030589151388854904,6120.8,6115.01,6120.8,6111.32,(0),(((x)+(7))+((0)+(x))),SkipD|ReplaceBranchR|FellTreeD|DeleteTerminalR|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|DivXD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteNonTerminalR,DeleteMaliciousR,29,29,30,30,0
