gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
12,-0.4007898999558666,-0.04521610452065744,-0.07870804711621397,0.223093949642963,SkipD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,11,11,4515839.5,4515839.5,((((((5)*(x))*(((4)+(9))*(x)))*((2)*((x)+(((7)*(1))-((8)-(6))))))*(x))*(x)),(((((2)-((5)-(5)))+((1)/(0)))+(9))+(x)),5*x*x*x+2*x+7,4
13,-0.43691316254828,-0.002879420088757059,-0.15934400973175694,0.17016746158012463,AddTreeWithMult,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,12,11,6698682.5,6698682.5,((((((5)*((5)-(9)))*(((x)*(3))*((3)*(4))))*((2)*((x)+(7))))*(x))*(x)),(((((((2)-(4))+(8))*(((x)*(0))+((7)*((9)*(x)))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
14,-0.46741268154856475,-0.004547445533279895,-0.1476495366940706,0.1509052098766269,AddTreeWithMult,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,13,13,32316879.3,32316879.3,((((((((7)-(x))*(8))*(x))*((x)*((2)-((7)*(9)))))*((9)+(4)))*(x))*(x)),((((((3)/(0))+((x)+(5)))+(5))+((0)-(x)))+(x)),5*x*x*x+2*x+7,4
15,-0.4115578993540853,-0.12581336387942987,-0.28801262763049135,0.11557564262970557,AddTreeWithMult,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,14,14,5207224.7,5207224.7,(((((((6)*(8))*(x))*(((x)*(5))*(x)))+(((8)*((3)-(x)))*((x)*(7))))*(x))*(x)),(((((((x)*((7)-(3)))*((8)*((x)*(x))))+(((2)*(9))*((5)*((7)*(x)))))+(x))+((8)/(0)))+(x)),5*x*x*x+2*x+7,4
16,-0.4217071719867779,-0.11279567083438898,-0.21775694346274,0.07059946274074494,AddTreeWithMult,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,15,15,264851,264851,((((((5)*(x))*((x)*((((5)*(6))-(8))-(1))))+((8)+(2)))*(x))*(x)),(((((((5)*((x)-(5)))*((3)-(((x)-(9))*((5)/(0)))))+(((7)*(2))*((9)-((7)*((3)*(x))))))+(x))+(6))+(x)),5*x*x*x+2*x+7,4
17,-0.4040246822353824,0.007942404619904402,-0.14605941012514095,0.18498278392267276,SkipD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,16,16,1691556.5,1691556.5,((((((5)*((5)*(8)))*(((4)*(7))*(x)))+((2)*(((3)-(x))-(7))))*(x))*(x)),(((((((6)*(4))+((5)*((5)*(0))))+((5)-((x)+(x))))+((0)/(0)))+((6)-(9)))+(x)),5*x*x*x+2*x+7,4
18,-0.48613142333560433,0.08238000312098376,-0.24515487251352802,0.29095536480654804,SkipD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,17,16,2677330.3,2677330.3,(((((((1)*(3))*((4)*(3)))*((x)*((1)*(8))))*((2)*((x)+(7))))*(x))*(x)),(((((((1)*(0))+((1)-((x)+(x))))*(((6)-((6)/((5)-(5))))+((6)-((8)*((x)*(x))))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
19,-0.3636669266716316,-0.00029842863045779767,-0.06919152935184535,0.2418467665610355,MultXD,AddXD,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|AddTreeWithSub|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,18,18,23064570.5,23064570.5,((((((5)*((1)*(7)))*(((3)*(4))*(((5)-(7))-(1))))*(((8)*(4))*((x)+(7))))*(x))*(x)),(((((((5)*((6)+(5)))*((x)+(6)))*(((4)+(8))*(((8)-(5))-(((x)/(0))*((x)*(x))))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
20,-0.4241318850625454,-0.07156816827215333,-0.12981214438808908,0.1816833052905557,SkipD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,19,19,660372.5,660372.5,((((((5)*(x))*(((9)*((x)-(5)))*((6)+((2)*(4)))))+((3)*(2)))*(x))*(x)),(((((((2)*((6)*((4)-(5))))-((6)*((0)*(x))))+(((x)*(9))+((5)*((1)*((x)*(x))))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
21,-0.32154038684348973,-0.04623330372357121,-0.05644012155875803,0.16128389415223782,AddTreeWithMult,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,19,20,11655345.5,11655345.5,((((((5)*(x))*(((7)*(1))*(x)))*(((9)-(1))*((x)+((x)-(1)))))*(x))*(x)),(((((((0)-(2))*((9)*((2)*(2))))-((((2)-(9))*(1))*((x)+((7)*((x)*(x))))))+(x))+(0))+(x)),5*x*x*x+2*x+7,4
