gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),30,-10,0.09152612818188635,0.4,0.39749584895611767,0.4,168074.77763742197,0,3246363.158833333,0,0.9999973592561687,1,0.8506888088074184,0,7804740.110352809,0,154628150.03333333,0,((((3)+((x)*(7)))*((9)*((6)-(3))))*(((x)+(2))+((x)*((x)*((x)*(x)))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddXD|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|MutateTerminalR|MultXD|AddRandomSubTreeR|MultXD|SkipD|DeleteNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,MultXD,11,10,12,12,0
12,(x),30,-10,0.09959081250333127,0.3793532236395678,0.3976943623850181,0.3853061224489796,48675.85683491177,0.17776666666666663,609414.9099999999,0.12,0.9999722091720022,1,0.8708189887078805,0,1165334.8136780888,0,14693097.066666666,0,((((0)+((9)-(7)))*((8)*((8)*(6))))*(((5)+(x))*((x)*((x)*(x))))),((0)+(x)),SkipD|SkipD|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddXD|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|MutateTerminalR|MultXD|AddRandomSubTreeR|MultXD|FellTreeD|DeleteNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,MultXD,12,11,13,13,0
13,(x),30,-10,0.12702040165079428,0.4,0.3986948527410583,0.4,45662.28182635925,0,550053.1986666666,0,0.9999408578256165,1,0.8440862090820617,0,681471.3984848483,0,6904266.5,0,((((8)*((0)-(7)))*((9)*((6)*(8))))+(((6)*(x))-((x)-((x)*((x)*(x)))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddTreeWithMult|MutateNonTerminalR|DeleteTerminalR|AddXD|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|MutateTerminalR|MultXD|AddTreeWithSub|SkipD|FellTreeD|DeleteNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,MultXD,13,12,14,14,0
14,(x),30,-10,0.15911848222653419,0.37681377358830304,0.39900921473044454,0.4,116154.50577058717,0.2783,1482624.5157500003,0,0.9999896492784317,1,0.7455479923074481,0,2828535.3494191915,0,39449745.666666664,0,((((2)-((3)-(6)))+(((9)*(1))*((7)*(5))))*(((6)*(x))-((x)*((9)*((x)*(x)))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|AddXD|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|MutateTerminalR|MultXD|AddTreeWithMult|MultXD|FellTreeD|DeleteNonTerminalR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,MultXD,13,13,15,15,0
15,(x),30,-10,0.1908976504940325,0.4,0.3995483042903749,0.4,112585.3219315864,0,1482052.5704638695,0,0.9999415875957421,1,0.687357354093661,0,752114.8009526354,0,6990524.333333333,0,((((9)*((x)*(9)))+((8)*((x)+(x))))+(((3)*(5))*((x)*((7)*(5))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|AddXD|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchXR|FellTreeD|MultXD|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,MultXD,15,14,16,16,0
16,(x),30,-10,0.21342633367669436,0.39504317884030576,0.39910638027568224,0.4,257803.61932936002,0.08114054696826077,4747325.323999999,0,0.9999948311280002,1,0.7788488992309252,0,4037744.144583334,0,78998538.43333334,0,((((x)*((x)*(4)))*(((x)*(2))+((x)+(7))))+(((0)-(x))*((8)*((8)*((x)*(7)))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|AddXD|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult|SkipD|DivXD|AddTreeWithAdd|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,MultXD,15,15,17,17,0
17,(x),30,-10,0.19269439458898435,0.4,0.39925767673204204,0.4,125437.77451604088,0,2271723.358,0,0.999986731751746,1,0.7178826543395483,0,1571116.7965861005,0,30775225.6,0,((((x)*((7)*(9)))*(((8)-(5))*((9)+(2))))+(((x)*(x))-((x)*((0)+((7)*(x)))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|AddXD|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd,MutateTerminalR|AddRandomSubTreeR|FellTreeD|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult|MultXD|FellTreeD|DeleteNonTerminalR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,FellTreeD,17,16,18,18,0
18,(x),30,-10,0.23055495321593095,0.4,0.3998127071578277,0.4,1135238.454614483,0,22212545.808250006,0,0.9999993921845358,1,0.6443096946701558,0,33664951.70633333,0,671804778.6666666,0,((((x)*((7)*(5)))*((8)*((3)+(x))))*(((x)+(9))*((x)-((x)*((x)*(x)))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|AddXD|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd,ReplaceBranchR|AddRandomSubTreeR|FellTreeD|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult|MultXD|AddXD|DeleteNonTerminalR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,AddRandomSubTreeR,FellTreeD,17,17,19,19,0
19,(x),30,-10,0.23032898265985785,0.374240955956549,0.39959138502717656,0.4,314952.3014080139,4.868966666666667,4595074.110666666,0,0.9999970875540908,1,0.20899858987082126,0,8711237.865,0,140202889.96666667,0,((((x)*((2)+(4)))*((9)+((7)*(3))))+(((x)*(8))*((x)*((x)*((x)*(x)))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|AddXD|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult|MultXD|AddXD|FellTreeD|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|FellTreeD|AddXD,MultXD,MultXD,19,17,20,20,0
20,(x),30,-10,0.19447371075863257,0.4,0.39968849817030433,0.4,184563.01281899543,0,3062200.1001637685,0,0.9999953271785368,1,0.7444773209524556,0,4391409.866111111,0,87384749.56666666,0,((((x)*((x)*(8)))+((x)*((8)+(9))))*(((x)-(x))-((x)-((x)*((x)*(x)))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|AddXD|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult|MultXD|AddXD|FellTreeD|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,MultXD,20,19,21,21,0
