gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.038426783427003,0,-0.03838902104300092,0,240.7336,244.832,246.512,244.832,-0.9589021043000916,0,0.0005214047316630311,0,6171.96,6120.8,6288.8,6120.8,(((8)-((5)*(0)))-((1)*((x)*(x)))),(0),AddToLeafR|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,20,20,22,22,3
22,x*x*x*x,25,-10,-0.038374496797804206,0,-0.03794593125081689,0,248.73449999999997,244.832,314.3136,244.832,-0.914480721474317,0,0.02765578334654622,0,6985.95,6120.8,13086.16,6120.8,(((x)*((0)-(8)))+((8)*((x)*(x)))),(0),AddToLeafR|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,20,21,23,23,3
23,x*x*x*x,25,-10,-0.03841784734021697,0,-0.038196988628937396,0,242.101,244.832,275.8968,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((x)*(0))*((0)*(x))),(0),AddToLeafR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|FellTreeD,AddTreeWithSub,DivXD,22,22,24,24,3
24,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((0)*(0))*((4)*(2))),(0),AddToLeafR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,23,23,25,25,3
25,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,((0)*((x)*(0))),(0),AddToLeafR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|DivXD|FellTreeD,SkipD,DivXD,23,24,26,26,3
26,x*x*x*x,25,-10,-0.03848953078029016,0,-0.038337210822114755,0,231.13199999999998,244.832,254.44,244.832,-0.9537210822114756,0,0.0031394588942622596,0,6361,6120.8,7081.6,6120.8,(((x)*((0)-(3)))*((x)*(x))),(0),AddToLeafR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|AddTreeWithAdd|DivXD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|FellTreeD,AddTreeWithSub,DeleteMaliciousR,26,25,27,27,3
27,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((x)*((0)*(x)))*((3)-(0))),(0),AddToLeafR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|AddTreeWithAdd|DivXD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|FellTreeD,DeleteNonTerminalR,DivXD,26,25,28,28,3
28,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((x)*(0))*((x)*(x))),(0),AddToLeafR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,27,27,29,29,3
29,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,((0)*((0)*(x))),(0),AddToLeafR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,27,27,30,30,3
30,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((0)*((x)*(0)))-((1)*(x))),(0),AddToLeafR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,27,29,31,31,3
