generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
23,0.7590554413928746,0.8805495492501147,0.8880045045967744,0.9661580056469025,0.8880045045967744,0.9661580056469025,StrategyMultXD,StrategyReplaceBranchXR,23,23,(((((((5)*(x))*(((9)*(8))*(x)))*(x))*(x))*(x))*(x)),((6)+(x)),5*x*x*x,1
24,0.7716939961890903,0.8852389812174454,0.9030011266603836,0.9542116059633148,0.9030011266603836,0.9542116059633148,StrategyAddToLeafR,StrategyReplaceBranchR,24,24,(((((((5)*(x))*(((9)*(8))*(x)))*(x))*(x))*(x))*(x)),((((1)+(9))*((x)+(7)))*((x)-(8))),5*x*x*x,1
25,0.7579305002363467,0.8814447589861981,0.8932033018874249,0.943764726600188,0.8932033018874249,0.943764726600188,StrategyAddToLeafR,StrategyReplaceBranchXR,25,25,(((((((5)*(x))*(((8)*(8))*(x)))*(x))*(x))*(x))*(x)),((2)+(4)),5*x*x*x,1
26,0.7719525265144362,0.8875884409624836,0.8915758912304003,0.974610679292217,0.8915758912304003,0.974610679292217,StrategyAddToLeafR,StrategyReplaceBranchXR,26,26,(((((((5)*(x))*((x)*((9)*(7))))*(x))*(x))*(x))*(x)),((5)+(4)),5*x*x*x,1
27,0.7756126932728167,0.8867240532871178,0.8962325135506957,0.9515439528825069,0.8962325135506957,0.9515439528825069,StrategyAddToLeafR,StrategyReplaceBranchXR,27,27,(((((((5)*(x))*((x)*((9)*(9))))*(x))*(x))*(x))*(x)),(((x)*(2))*((x)*((1)-(9)))),5*x*x*x,1
28,0.7670956879739684,0.8883347338824233,0.9010608992451948,0.9538083357837905,0.9010608992451948,0.9538083357837905,StrategyAddToLeafR,StrategyReplaceBranchXR,28,28,(((((((5)*(x))*(((8)*(9))*(x)))*(x))*(x))*(x))*(x)),((5)-(5)),5*x*x*x,1
29,0.774053474310958,0.8875550850532828,0.914210269908715,0.9598168010661962,0.914210269908715,0.9598168010661962,StrategyAddToLeafR,StrategyReplaceBranchXR,29,29,(((((((5)*(x))*((x)*((8)*(5))))*(x))*(x))*(x))*(x)),(((3)*(0))*((x)-(5))),5*x*x*x,1
30,0.7760650810330705,0.8895964539762704,0.8850687342485589,0.9504271638644858,0.8850687342485589,0.9504271638644858,StrategyAddToLeafR,StrategyReplaceBranchXR,30,30,((((((((9)*(6))*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),((((8)-(x))*((x)+(7)))*((2)+((x)*(3)))),5*x*x*x,1
31,0.7762075640611762,0.8864466299228602,0.8982206979305636,0.9635659223230957,0.8982206979305636,0.9635659223230957,StrategyAddToLeafR,StrategyReplaceBranchXR,31,31,(((((((5)*(x))*((x)*((8)*(9))))*(x))*(x))*(x))*(x)),(((7)-(9))*((x)-(4))),5*x*x*x,1
32,0.7664884772922624,0.8834583635436181,0.8599316151787627,0.9652621864750138,0.8599316151787627,0.9652621864750138,StrategyAddToLeafR,StrategyReplaceBranchXR,32,32,(((((((5)*(x))*((x)*(x)))*(x))*((9)*(8)))*(x))*(x)),((8)-(7)),5*x*x*x,1
33,0.7546346771512604,0.8768676281078452,0.900063918553206,0.9439741670678198,0.900063918553206,0.9439741670678198,StrategyAddToLeafR,StrategyReplaceBranchXR,33,33,(((((((5)*((9)*(8)))*((x)*(x)))*(x))*(x))*(x))*(x)),((((x)*(2))*((x)*((4)-(4))))*((9)+(2))),5*x*x*x,1
34,0.7759003405021729,0.8867201493661296,0.8992759163728951,0.9535722280363141,0.8992759163728951,0.9535722280363141,StrategyAddToLeafR,StrategyReplaceBranchXR,34,34,(((((((5)*(x))*((x)*(x)))*(x))*((8)*(9)))*(x))*(x)),(((0)-(x))*((x)*(0))),5*x*x*x,1
35,0.7521742948296263,0.8752092046327161,0.8990005264771166,0.974919871213856,0.8990005264771166,0.974919871213856,StrategyAddToLeafR,StrategyReplaceBranchXR,35,35,(((((((5)*(x))*((x)*(x)))*((9)*(8)))*(x))*(x))*(x)),((4)*(7)),5*x*x*x,1
36,0.7693644807413584,0.88776879636225,0.9462943071965632,0.9575105149520091,0.9462943071965632,0.9575105149520091,StrategyAddXD,StrategyReplaceBranchXR,36,36,((((((((5)*(x))*((x)*(x)))*(x))*(x))+(x))*(x))*(x)),((4)-(7)),5*x*x*x,1
37,0.781009204252836,0.8905696994584761,0.9000531293381409,0.9585686027158694,0.9000531293381409,0.9585686027158694,StrategyAddToLeafR,StrategyReplaceBranchXR,37,37,(((((((5)*(x))*((x)*(x)))*(x))*((9)*(9)))*(x))*(x)),((((5)*(x))*((x)*((4)-(8))))-((x)*(6))),5*x*x*x,1
