gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
63,x*x*x*x,25,-10,0.02224442966270662,0.00006537463012024251,0.05651390077098932,0.0002123905371846803,68449.91053333334,366.8478666666667,232522.3624,365.94800000000004,0.9759724143846343,0.009462815318259063,0.40530431893809754,0.0036809993544211013,1825237.6666666667,6108.033333333333,6368513.36,6062.88,((((x)*(x))*((x)*((x)*(7))))+((9)*((x)*((x)-(x))))),((x)*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|ReplaceBranchXR,FellTreeD|MutateNonTerminalR|FellTreeD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,63,63,64,64,0
64,x*x*x*x,25,-10,0.030171408772705154,0.000055126491849200495,0.054104113600110616,0.00015187557182067712,49480.98786666666,366.9106,123934.3192,366.31840000000005,0.9419953156535925,0.0028100901842896056,0.20259759634943308,0.0009210981814764215,1215188.64,6113.540000000001,2638062.8,6103.6,((((x)*(9))*((4)*((x)*(7))))+((5)*((x)*((x)-(x))))),((x)*((8)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|ReplaceBranchXR,FellTreeD|MutateNonTerminalR|FellTreeD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,63,64,65,65,0
65,x*x*x*x,25,-10,0.024629507552024484,0.00007082031871410765,0.05492030242423621,0.00022448046007057988,49408.608,366.8145333333334,139738.9664,365.874,0.9683944243650195,0.009462815318259063,0.3107161768139385,0.003717293941237206,1434947.7733333334,6108.526666666668,4841550.8,6062.88,((((5)+(6))*((x)*((8)*(9))))*((x)*((x)*((x)-(x))))),((x)*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|FellTreeD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,65,64,66,66,0
66,x*x*x*x,25,-10,0.0029649390233804874,0.00008615720503631556,0.030637948034571528,0.00024950986799111266,41166.191999999995,366.72066666666666,128737.05360000003,365.7208,0.9728205046517896,0.009462815318259063,0.7001779467580495,0.0036615171940863295,1416983.1600000001,6107.586666666667,5629979.44,6062.88,((((9)*(8))+((8)*((x)*(x))))*((x)*((x)*((x)-(x))))),((x)*((x)+(x))),MultXD|AddTreeWithAdd|AddTreeWithAdd|AddToLeafR|SubXD,FellTreeD|DivXD|FellTreeD|ReplaceBranchXR|AddXD,AddTreeWithAdd,FellTreeD,66,64,67,67,0
67,x*x*x*x,25,-10,0.003413870614004093,0.00008481462118241736,0.034034741217464644,0.00021199843157757188,35490.04218383838,366.72886666666665,90696.60923636366,365.9504,0.9611600257096161,0.009462815318259063,0.09252997468704276,0.0035723660618988155,1332002.0666666667,6107.146666666667,3939755.44,6062.88,((((3)+(5))*((x)*((x)*(7))))*((x)*((x)*((x)-(x))))),((x)*((x)+(x))),AddTreeWithAdd|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|AddTreeWithSub|MultXD|ReplaceBranchXR|AddXD,AddTreeWithAdd,FellTreeD,67,67,68,68,0
68,x*x*x*x,25,-10,0.031061170439283036,0.00010040224171687848,0.05631610464836268,0.00035943013985099986,70488.31046666668,366.63346666666666,189260.0196,365.048,0.9762357340636075,0.009462815318259063,0.05979264898648637,0.0035747240152147544,2579841.6133333333,6105.46,6439079.6,6062.88,((((x)*(x))*((x)*((8)+(5))))*((x)*((9)*((9)-(x))))),((x)*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|FellTreeD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,67,68,69,69,0
69,x*x*x*x,25,-10,0.027232904561399485,0.0002676144775196551,0.05635784008463772,0.0008889034113187815,65241.40513333333,365.61000000000007,177362.42239999998,361.80719999999997,0.9546788348298657,0.054881714808521775,0.7565428407883557,0.02196715985714194,1625988.1199999999,6003.933333333333,3376347.44,5784.88,((((x)*(x))*((x)*((x)*(6))))+((7)*((6)*((x)-(x))))),(((x)*(6))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|MutateNonTerminalR,MultXD,MutateNonTerminalR,69,69,70,70,0
70,x*x*x*x,25,-10,0.033359695882483234,-0.010056542080411911,0.05461745915701854,0.0006572343484511855,64270.19266666668,4913.120266666668,180877.0248,363.2252,0.9758424035830259,0.036818716507646156,0.11581310049343015,0.013485782280700513,2238577.5866666664,6017.413333333333,6334239.44,5895.44,((((x)*(9))*((x)*((6)+(4))))*((x)*((x)*((x)-(x))))),(((x)*(4))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|AddTreeWithMult|AddXD,MultXD,DivXD,70,70,71,71,0
71,x*x*x*x,25,-10,0.020866177595683953,-0.019749578780877665,0.050934828355507736,0.0020007188602797015,44873.48173333333,290510.35893333337,109401.91759999999,355.00199999999995,0.9611600257096161,0.06390014377205593,0.07899420787435116,0.022823467257547688,2026079.4400000002,6005.713333333333,3939755.44,5729.68,((((x)*(7))*((x)*((x)*(x))))*((5)+((3)*((x)-(x))))),(((x)*(7))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|FellTreeD|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,71,71,72,72,0
72,x*x*x*x,25,-10,0.034081787717579345,-0.012628238761238737,0.05549505129047553,0.0035837145471180245,71589.58219999999,540.5736,196911.44920000003,345.3128,0.9755620645305869,0.08189779113841324,0.754445653213187,0.031188570756271943,2092211.1066666667,5988.566666666667,6261576.4,5619.52,((((x)*(x))*((x)*((x)*(9))))+((7)*((8)*((8)-(x))))),(((x)*(9))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,72,72,73,73,0
