gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
86,x*x*x*x,25,-10,0.005807566132816371,0.00001667603504505056,0.04552639006900802,0.00047379427525813913,136940.02726666667,367.1641333333333,649121.8328000001,364.348,0.9948114400408112,0.02227159848385842,0.8246776046674631,0.00907059577004312,5318830.873333334,6097.8,29491805.28,5984.48,((((x)*(x))*((5)*((7)*(x))))*((x)*((x)-((x)*(x))))),((((x)*(5))*((3)+(0)))*((6)-((0)-(0)))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|SkipD,MultXD,DeleteMaliciousR,86,84,87,87,3
87,x*x*x*x,25,-10,0.011939848961784768,-0.002187914540968201,0.0389569210281784,0.0009221016860541131,98433.13933333334,410.6908,296097.55840000004,361.60400000000004,0.9849051386908991,0.04107959743824345,0.7818476486072365,0.016824497366220045,3864684.44,6079.406666666667,10137224.64,5869.36,((((x)*(9))*((4)*((4)*(x))))*((x)*((x)-((x)*(x))))),((((8)*(x))*((4)*(7)))-((7)*((x)-((0)*(x))))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|SkipD,MultXD,DeleteMaliciousR,87,87,88,88,3
88,x*x*x*x,25,-10,0.000996772636534613,0.001087257232851093,0.051908569072358836,0.006254215135276437,123776.525,360.5931333333333,458473.23439999996,328.9672,0.983898378400238,0.5537315383609985,0.7712959016397317,0.22442765089990993,3396169.74,5534.813333333334,9503390.64,2731.52,((((x)*(x))*((x)*((5)*(9))))*((3)*((x)-((x)*(x))))),((((9)*(x))*((6)+(4)))*((1)*((x)-(0)))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|SkipD,MultXD,DeleteNonTerminalR,88,88,89,89,3
89,x*x*x*x,25,-10,0.036269208019621295,-0.0022662254939861647,0.05857072526637644,0.001164292249379168,151576.65946666666,404.7267999999999,426679.7824,360.12159999999994,0.9709270839561978,0.05718206770356816,0.01572440382041534,0.023217965757050738,3717232.3733333335,6060.866666666666,5263317.92,5770.8,((((5)*(x))*((x)*((x)*(x))))*((4)+((x)-((x)*(x))))),((((0)*(4))+((7)-(7)))*((6)-((x)*(x)))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|AddTreeWithSub|FellTreeD|MutateTerminalR|SkipD,MultXD,SkipD,88,89,90,90,3
90,x*x*x*x,25,-10,0.027616715738481807,-0.0005564481014646087,0.05647781627780076,0.002854136714155012,119849.18913333333,374.7878666666667,385118.02160000004,349.77840000000003,0.9827477284140778,0.0075022872827081545,0.9487128838387762,0.003013429783155541,2940119.8400000003,6110.426666666666,8869556.64,6074.88,((((7)*(6))*((3)*((x)*(x))))*((x)*((x)-((x)*(x))))),(((2)*(2))*((3)*(6))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|SkipD,MultXD,DeleteMaliciousR,90,90,91,91,3
91,x*x*x*x,25,-10,0.02623076567610212,-0.0016288522374739304,0.05831879820609451,0.000395307802901583,146328.41179999997,449.31113333333326,447118.5696,364.82840000000004,0.9899094788859769,0.0010194745784864367,0.9608181936533876,0.0002817956747355678,3610480.773333333,6116.153333333333,15164727.2,6114.56,((((x)*(x))*((3)*((6)*(x))))*((x)*((x)-((x)*(x))))),(8),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|FellTreeD|MutateTerminalR|SkipD,MultXD,DeleteMaliciousR,91,91,92,92,3
92,x*x*x*x,25,-10,0.02725239128149123,-0.003431860834433506,0.05867251869925675,0.0038034897399032807,499353.11993333325,590.6855333333334,1005322.0236,343.96759999999995,0.9974781424398679,0.001143641354071363,0.7987471175761963,0.00034027698826894317,39137508.57333333,6115.5199999999995,60677495.2,6113.8,((((x)*(x))*((x)*((x)*(9))))*((0)+((8)*((x)*(x))))),(9),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|FellTreeD|MutateTerminalR|SkipD,MultXD,MutateTerminalR,91,92,93,93,3
93,x*x*x*x,25,-10,0.018013628846738107,0.00003756589552564084,0.051018737878540964,0.00006613514573258475,323587.5076,367.01806666666664,671635.0408000001,366.8432,0.9959647836740094,0.001143641354071363,0.07052761334616511,0.0004106913260909131,19427211.226666667,6116.406666666667,37921139.2,6113.8,((((6)+(9))*((x)*((x)*(x))))*((3)*((x)*((x)*(x))))),(9),MultXD|SubXD|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|FellTreeD|MutateTerminalR|SkipD,MultXD,FellTreeD,93,93,94,94,3
94,x*x*x*x,25,-10,0.01960875548641608,0.000036324227769791085,0.058910410868794096,0.00006613514573258326,1445402.0494666663,367.02566666666667,6145428.0104,366.8432000000001,0.999386083362392,0.001143641354071363,0.7980726375915566,0.00039002337088554675,67328108.26666667,6115.573333333334,249252081.84,6113.8,((((x)*(x))*((3)*((8)*(x))))*((x)*((x)*((x)*(x))))),(9),SubXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|FellTreeD|MutateTerminalR|SkipD,MultXD,DeleteMaliciousR,94,94,95,95,3
95,x*x*x*x,25,-10,0.029002671850254274,0.00004301180673550424,0.05951921679584691,0.00006861848124428178,596941.488,366.98473333333334,1963958.3255999996,366.82800000000003,0.9985218618845163,0.001143641354071363,0.7940982136527571,0.0002911969005248852,35463127.45333333,6115.700000000001,103522125.84,6113.8,((((x)*(7))*((5)*((x)*(x))))*((7)*((6)*((x)*(x))))),(9),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,AddXD|ReplaceBranchR|FellTreeD|DeleteTerminalR|SkipD,MultXD,FellTreeD,95,95,96,96,3
96,x*x*x*x,25,-10,0.01048820994205861,0.00003718468174094999,0.05805645830707777,0.00006489347797673548,131794.6664,367.0204,444599.06799999997,366.8508,0.9842297229442439,0.001143641354071363,0.7785502459246079,0.0004019374681882707,4384826.266666667,6116.28,9703063.52,6113.8,((((x)*(x))*((x)*((x)*(8))))*((x)+((7)-((x)*(x))))),(9),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|SkipD|FellTreeD|MutateTerminalR|SkipD,MultXD,SkipD,96,95,97,97,3
97,x*x*x*x,25,-10,0.01692161791993911,0.0000367163333769019,0.04504104886186939,0.00006365181022088622,118699.64364285715,367.0232666666667,419684.36400000006,366.8584,0.9864151768543336,0.001143641354071363,0.7671779284760228,0.00019892535352525158,3837203.146666667,6115.446666666667,11264040.64,6113.8,((((x)*(x))*((x)*((4)*(8))))*((5)*((x)-((x)*(x))))),(9),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|FellTreeD|MutateTerminalR|SkipD,MultXD,FellTreeD,97,97,98,98,3
98,x*x*x*x,25,-10,0.03587016068683433,0.000039493748093932304,0.058059576196997774,0.00006116847470918917,225776.928,367.0062666666667,827031.1136,366.8736,0.9959647922294145,0.001143641354071363,0.7898499682457004,0.00028764558595738976,11388944.173333332,6115.953333333334,37921219.6,6113.8,((((x)*(9))*((5)*((x)*(x))))*((x)*((x)-((x)*(x))))),(9),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|FellTreeD|MutateTerminalR|SkipD,MultXD,SkipD,97,98,99,99,3
99,x*x*x*x,25,-10,0.04405548420357668,0.00004656254084433432,0.056488356909920164,0.00006861848124428178,266242.73840000003,366.963,829784.4495999999,366.82800000000003,0.9959647922294145,0.001143641354071363,0.7898499682457004,0.00028764558595738976,11388944.173333332,6115.953333333334,37921219.6,6113.8,((((x)*(9))*((5)*((x)*(x))))*((x)*((x)-((x)*(x))))),(9),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|FellTreeD|MutateTerminalR|SkipD,MultXD,MutateTerminalR,99,98,99,99,3
