gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,0.02206354697713674,0,0.056585739339337894,0,144682.4824,367.24800000000005,656274.6208,367.24800000000005,0.9949697464602051,0,0.7513719387946519,0,5831054.026666667,6120.8,30419937.84,6120.8,((((9)*(x))*((x)*((0)+(6))))*((8)*((x)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,AddRandomSubTreeR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|FellTreeD,MultXD,AddRandomSubTreeR,21,20,22,22,3
22,x*x*x*x,25,-10,0.03237868087229026,0,0.05785689851403669,0,153668.32013333336,367.24800000000005,394354.94479999994,367.24800000000005,0.9847472670595289,0,0.06282711109720981,0,5011675.773333333,6120.8,10032300.48,6120.8,((((6)*(4))+((x)*((8)+(x))))*((x)*((x)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|FellTreeD,MultXD,FellTreeD,22,21,23,23,3
23,x*x*x*x,25,-10,-0.00784229699660882,0,0.04415716970330634,0,57376.05373333334,367.24800000000005,196201.8648,367.24800000000005,0.9656121045392022,0,0.993871808556067,0,1447054.0000000002,6120.8,4449821.6,6120.8,((((x)*(5))+((8)*((x)*(9))))+((5)*((4)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|FellTreeD,MultXD,MutateNonTerminalR,23,22,24,24,3
24,x*x*x*x,25,-10,0.022647625394353846,0,0.0577395034671884,0,348859.4760000001,367.24800000000005,1603205.3592,367.24800000000005,0.9974781424398679,0,0.7533385676237301,0,11689794.693333333,6120.8,60677495.2,6120.8,((((x)*(x))*((6)*((4)+(8))))*((x)*((x)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|DeleteMaliciousR|FellTreeD,AddRandomSubTreeR,DeleteMaliciousR,22,23,25,25,3
25,x*x*x*x,25,-10,0.015046820945285649,0,0.0392814430885861,0,193610.3552,367.24800000000005,672391.9808,367.24800000000005,0.9963479169574188,0,0.11329332798284349,0,11374041.253333332,6120.8,41899375.84,6120.8,((((5)*(x))*((7)*((x)*(x))))*((x)*((8)+((9)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|DeleteMaliciousR|FellTreeD,MultXD,DeleteMaliciousR,25,23,26,26,3
26,x*x*x*x,25,-10,0.026750967459982865,0,0.057349683846215804,0,198469.9212,367.24800000000005,645453.0048,367.24800000000005,0.9944873208379272,0,0.17755616509855535,0,8147620.706666667,6120.8,27757828,6120.8,((((6)*(6))*((9)*((x)*(x))))*((x)*((8)+((6)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|FellTreeD,MultXD,MutateNonTerminalR,26,25,27,27,3
27,x*x*x*x,25,-10,0.00849003245609285,0.000008005489478499691,0.058190997715603494,0.00005790092798327099,215222.5502666667,367.199,981068.4904,366.8936,0.9966466480804977,0.0028950463991635495,0.7705222434880891,0.0011448599665433868,9664263.68,6115.900000000001,45631953.84,6103.08,((((x)*(5))+((4)*((x)*(x))))*((8)*((9)*((x)*(x))))),((5)*(5)),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithMult,MultXD,MutateNonTerminalR,27,27,28,28,3
28,x*x*x*x,25,-10,0.003941176035029669,-0.00002967334024891355,0.054156046914771466,0.00552398379296824,281857.6750666667,545.5086666666667,1315813.2536000002,333.4368,0.9985535354465064,0,0.7724316841908503,0,20385980.30666667,6120.8,105788973.28,6120.8,((((x)*(x))*((9)*((x)+(2))))*((x)*((x)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|MutateTerminalR|FellTreeD,MultXD,MutateTerminalR,28,27,29,29,3
29,x*x*x*x,25,-10,0.003482350076411289,0,0.05582628739695538,0,99573.55893333335,367.24800000000005,375828.17520000006,367.24800000000005,0.9802370363301598,0,0.7727270184009679,0,3568444.3866666667,6120.8,7742765.84,6120.8,((((x)*(x))*((x)*((2)+(8))))*((7)+((4)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddXD|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|FellTreeD,MultXD,DeleteMaliciousR,29,28,30,30,3
30,x*x*x*x,25,-10,0.030986346790018025,0,0.05770502707969441,0,235214.11,367.24800000000005,859829.9624,367.24800000000005,0.9865829809432455,0,0.12964573893114673,0,5801563.253333333,6120.8,11404917.84,6120.8,((((x)*(9))+((9)*((0)+(9))))*((x)*((x)*((x)*(x))))),(0),MultXD|DeleteMaliciousR|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|SubXD|MutateTerminalR|FellTreeD,MultXD,DeleteMaliciousR,30,29,31,31,3
31,x*x*x*x,25,-10,0.012373082132445907,0,0.058898391934767265,0,462401.0270666667,367.24800000000005,1661099.4312000005,367.24800000000005,0.996948559473675,0,1.0076332077071188,0,16432110.106666667,6120.8,50146807.28,6120.8,((((x)*(1))+((x)*((7)*(8))))*((x)*((x)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|SubXD|MutateTerminalR|FellTreeD,MultXD,DeleteMaliciousR,31,29,32,32,3
32,x*x*x*x,25,-10,0.022940980388114415,0,0.05557106477402491,0,229102.8328,367.24800000000005,801999.3800000001,367.24800000000005,0.997015177720251,0,1.0013018463628678,0,12916237.040000001,6120.8,51266033.84,6120.8,((((x)*(7))*((x)*((x)*(7))))+((6)*((8)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,DeleteMaliciousR,32,31,33,33,3
33,x*x*x*x,25,-10,0.02399050042951926,0,0.05859752812336258,0,273775.20413333335,367.24800000000005,1055921.476,367.24800000000005,0.9961130663924229,0,1.0218537819691864,0,9478163.773333333,6120.8,39367793.6,6120.8,((((x)*(x))*((x)+((4)*(3))))*((x)*((x)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|FellTreeD,MultXD,DeleteMaliciousR,33,32,34,34,3
34,x*x*x*x,25,-10,0.03474910651626866,0,0.05861372663093,0,344485.54253333336,367.24800000000005,1419872.3720000002,367.24800000000005,0.9977583739601562,0,0.08214732272704726,0,16304427.146666666,6120.8,68262947.2,6120.8,((((x)*(x))*((x)*((x)*(x))))*((9)*((4)+((5)*(x))))),(0),MultXD|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,DeleteMaliciousR,34,33,35,35,3
35,x*x*x*x,25,-10,0.01204046003374645,0,0.04317392406516014,0,403867.1745333333,367.24800000000005,1615729.9848,367.24800000000005,0.9986147921131313,0,0.3147884383205919,0,28491711.24,6120.8,110467173.52,6120.8,((((x)*(x))*((8)*((x)*(x))))*((x)*((x)+((5)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,DeleteMaliciousR,35,34,36,36,3
36,x*x*x*x,25,-10,0.010894660209366558,0,0.04059625336330406,0,135802.08146666668,367.24800000000005,632777.54,367.24800000000005,0.9961675486844741,0,0.9534312390374666,0,7157912.04,6120.8,39927447.84,6120.8,((((x)*(x))*((3)+((6)*(9))))*((7)*((x)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|SkipD|MutateNonTerminalR|MutateNonTerminalR|FellTreeD,MultXD,MutateNonTerminalR,36,35,37,37,3
37,x*x*x*x,25,-10,0.045413622907888085,0,0.05848926767956741,0,281843.0268666667,367.24800000000005,774208.26,367.24800000000005,0.9944183969636079,0,0.023229278958913434,0,11538928.226666667,6120.8,27415063.2,6120.8,((((x)*(x))*((9)+((1)*(7))))*((8)*((8)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|SubXD,ReplaceBranchXR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,SubXD,MutateTerminalR,36,36,38,38,3
38,x*x*x*x,25,-10,0.00643734187500691,0,0.05667758828700083,0,160838.04333333333,367.24800000000005,716186.7784000001,367.24800000000005,0.9970319363647157,0,0.7844316517854607,0,10319315.906666666,6120.8,51555498.4,6120.8,((((x)*(8))*((9)*((x)*(6))))+((7)*((9)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,ReplaceBranchXR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,ReplaceBranchXR,38,36,39,39,3
39,x*x*x*x,25,-10,0.015320820942211108,0,0.057634528310952525,0,150002.6605333333,367.24800000000005,622437.6816000001,367.24800000000005,0.9956884370065815,0,0.9737029457190426,0,6295124.426666666,6120.8,35490609.84,6120.8,((((x)*(x))*((9)*((8)*(x))))*((x)*((4)+((3)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|AddRandomSubTreeR|SkipD|FellTreeD,MultXD,DeleteMaliciousR,38,38,40,40,3
40,x*x*x*x,25,-10,0.0315101611064764,0,0.05776834702652952,0,992801.5293333334,367.24800000000005,4344437.7151999995,367.24800000000005,0.9995797257357056,0,0.09464518729706467,0,78757598.53333333,6120.8,364095575.2,6120.8,((((x)*(x))*((x)*((8)*(9))))*((6)*((x)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,DeleteMaliciousR,40,39,41,41,3
41,x*x*x*x,25,-10,0.034692173477198794,0,0.05912428243929822,0,1371530.2836000002,367.24800000000005,3276825.757599999,367.24800000000005,0.9989940576022985,0,0.0018907323880081094,0,71269361.52,6120.8,152116065.84,6120.8,((((x)*(8))*((9)*((x)*(x))))*((5)*((6)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,DeleteMaliciousR,41,40,42,42,3
42,x*x*x*x,25,-10,0.02694355499831627,0,0.05920003633976573,0,748151.5622666666,367.24800000000005,2183367.372,367.24800000000005,0.9981086545269398,0,0.025517088162274118,0,33422315.453333337,6120.8,80905367.2,6120.8,((((3)*(x))*((x)*((x)*(x))))*((4)*((8)*((x)*(x))))),(0),ReplaceBranchR|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,ReplaceBranchR,42,41,43,43,3
