gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
32,x*x*x*x,25,-10,-0.041207161558008173,0.0000647216092382002,0.002586666674904522,0.00016710233956345532,4830.5764,366.8518666666667,17610.557600000004,366.2252,0.8171042236756778,0.003097634296170441,0.860932063811819,0.0008237605619339621,273188.61333333334,6109.733333333333,836651.36,6101.84,((((x)*(x))-((0)*(x)))*((x)*((x)-((x)*(x))))),((x)*((9)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,32,31,33,33,4
33,x*x*x*x,25,-10,-0.04745159974278072,0.00007769532591799909,-0.00907655831964439,0.0003416546856620063,3383.6281333333336,366.7724666666667,16431.6512,365.1568,0.8199770466616859,0.009462815318259063,0.7265231816836838,0.003656346142098855,146814.45333333334,6107.286666666667,850002.72,6062.88,((((x)*(x))*((0)-(x)))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,33,33,34,34,4
34,x*x*x*x,25,-10,-0.04590972563797511,0.00005148840102414075,-0.0004988138984296775,0.00014978434191608987,2881.4266666666667,366.93286666666665,13456.868799999998,366.3312,0.7329786170700477,0.003097634296170441,0.691006221529857,0.0013709480957478802,100657.78666666668,6113.133333333334,573062.72,6101.84,((((x)*(x))*((x)-(5)))*((x)*((x)-((x)*(x))))),((x)*((9)+(x))),DeleteMaliciousR|AddTreeWithSub|MutateNonTerminalR|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|AddTreeWithAdd|AddXD,DeleteMaliciousR,AddTreeWithSub,34,34,35,35,4
35,x*x*x*x,25,-10,-0.03352128213170082,0.000050257891620191684,0.02907067993835383,0.0001412887204287029,6089.925666666666,366.94039999999995,22257.06,366.38320000000004,0.7601392051607033,0.003097634296170441,0.8586157451950251,0.0011298903806910082,216426.08,6110.073333333334,637953.36,6101.84,((((x)*(x))*((0)-(9)))*((x)*((x)-((x)*(x))))),((x)*((9)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|DeleteNonTerminalR,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,DeleteMaliciousR,AddTreeWithSub,35,35,36,36,4
36,x*x*x*x,25,-10,-0.05210940211163688,0.00004424613874708526,-0.024765195835420504,0.00011554045222847026,1237.5259333333333,366.97720000000004,5572.2696,366.5408,0.289592035854107,0.0025225460724089188,0.5100026265800559,0.000595156525544316,41044.32666666666,6111.54,215397.36,6105.36,((((x)*(5))-((8)*(x)))*((x)*((x)-((x)*(x))))),((x)*((7)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,36,35,37,37,4
37,x*x*x*x,25,-10,-0.047728893785913724,0.00006905575455185682,-0.0027678470966089664,0.0002927721866422717,2285.838533333333,366.82533333333333,11206.3472,365.45599999999996,0.6869877395417249,0.009462815318259063,0.6722305244019863,0.003667975113347112,86624.44,6108.360000000001,488862.64,6062.88,((((x)*(x))*((7)-(0)))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,37,37,38,38,4
38,x*x*x*x,25,-10,-0.028764285716696012,0.00005712952022910906,0.03425258050194828,0.00014063521108351838,7519.344666666667,366.89833333333337,26130.096800000003,366.3872,0.6921754549213062,0.003097634296170441,0.843034885935215,0.0011391850740788121,203315.29333333333,6112.360000000001,497101.36,6101.84,((((1)-(8))*((x)*(x)))*((x)*((x)-((x)*(x))))),((x)*((9)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,38,38,39,39,4
39,x*x*x*x,25,-10,-0.03837497052156815,0.00007088638097454108,0.02554427225704454,0.00017435629329499305,6482.3354,366.8141333333333,31011.6704,366.1807999999999,0.8080634715610824,0.0028100901842896056,0.8278939277714904,0.0008434980583553325,183255.76,6111.68,797242.72,6103.6,((((x)*(x))*((1)-(x)))*((x)*((x)-((x)*(x))))),((x)*((8)+(x))),DeleteMaliciousR|AddTreeWithSub|AddToLeafR|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,DeleteMaliciousR,AddTreeWithSub,39,38,40,40,4
40,x*x*x*x,25,-10,-0.039613937556749905,0.00009082926366480573,0.022360241594016016,0.00032786563847863215,4867.778133333333,366.6920666666667,21933.22,365.24120000000005,0.6921754549213062,0.009462815318259063,0.8224673621592377,0.004717259342816709,146342.98666666666,6098.68,497101.36,6062.88,((((x)*(x))*((x)*(0)))-((7)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,40,40,41,41,4
41,x*x*x*x,25,-10,-0.03742346948863506,0.00005657457091083857,0.025785260166687318,0.00014795451574957884,4677.525333333333,366.90173333333337,19230.0288,366.3424,0.7061620780942927,0.0022088615867207613,0.8238444407910603,0.0004306968696701589,148913.52,6111.38,520763.28,6107.28,((((x)*(x))-((6)*(x)))*((x)*((x)-((x)*(x))))),((x)*((6)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,DeleteMaliciousR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,DeleteMaliciousR,41,41,42,42,4
