gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
88,x*x*x*x,25,-10,0.05911562379165497,-0.01749873746613328,0.05911562379165497,0.010096196575611035,622893.2832,981645.8738666667,622893.2832,305.4512,0.9852603965275829,0.0725918180629984,0,0.0353138164946436,10381554.72,5890.56,10381554.72,5676.48,((((x)*(x))*((x)*(x)))*((x)*((x)-((x)*(x))))),((x)*((8)*(x))),MultXD|MultXD|SubXD|SkipD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,87,88,89,89,4
89,x*x*x*x,25,-10,0.05743476133017445,-0.004765257386642101,0.05743476133017445,0.016176447523199584,527447.4496,561266.5946666667,527447.4496,268.23519999999996,0.9852603965275829,0.054554960135929954,0,0.023249258849078015,10381554.72,5977.333333333333,10381554.72,5786.88,((((x)*(x))*((x)*(x)))*((x)*((x)-((x)*(x))))),((x)*((6)*(x))),MutateNonTerminalR|SkipD|SubXD|SkipD|AddTreeWithSub,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,SkipD,MultXD,88,89,90,90,4
90,x*x*x*x,25,-10,0.03965939764191524,-0.011165761982657778,0.03966315052824818,0.008857012155273822,519138.3897333334,314226.12826666667,519138.964,313.036,0.9852603965275829,0.045536531172395804,0,0.01420091455534222,10381554.72,5993.013333333333,10381554.72,5842.08,((((x)*(x))*((x)*(x)))*((x)*((x)-((x)*(x))))),((x)*((5)*(x))),MultXD|MultXD|SubXD|SkipD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,90,90,91,91,4
91,x*x*x*x,25,-10,0.039579016765804914,-0.009316456855542516,0.03979199775132507,0.008397072278133582,640079.6562666666,150660.8948,1246136.1232,315.8512,0.9981581890221752,0.0725918180629984,0.01907177596736235,0.0281861975128951,22475625.94666667,5918.133333333334,83081272.64,5676.48,((((x)*(x))*((x)*((x)*(x))))*((8)*((x)-((x)*(x))))),((x)*((8)*(x))),MultXD|MultXD|SubXD|AddRandomSubTreeR|MultXD,DivXD|FellTreeD|MultXD|ReplaceBranchXR|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,91,91,92,92,4
92,x*x*x*x,25,-10,0.05911562379165497,0.0011787587669216803,0.05911562379165497,0.004187687883936744,622893.2832,360.0330666666667,622893.2832,341.616,0.9852603965275829,0.08161024702653255,0,0.02495364884900466,10381554.72,5920.693333333334,10381554.72,5621.28,((((x)*(x))*((x)*(x)))*((x)*((x)-((x)*(x))))),((x)*((9)*(x))),MultXD|MultXD|SubXD|SkipD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,90,92,93,93,4
93,x*x*x*x,25,-10,0.05911562379165497,0.0009622724255908824,0.05911562379165497,0.003408181937001699,622893.2832,361.3632,622893.2832,346.3872,0.9852603965275829,0.05228074761469089,0,0.018465850668286814,10381554.72,5948.906666666667,10381554.72,5800.8,((((x)*(x))*((x)*(x)))*((x)*((x)-((x)*(x))))),((x)*((x)*(x))),MultXD|MultXD|SubXD|SkipD|MultXD,ReplaceBranchR|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,92,93,94,94,4
94,x*x*x*x,25,-10,0.009946117274779493,0.0009461943972465487,0.009946117274779493,0.0028877270944974547,1619972.6504000002,361.45653333333337,1619972.6504000002,349.5728,0.9988305378952003,0.0725918180629984,0,0.03190571746340424,130846480.08,5953.413333333333,130846480.08,5676.48,((((x)*(x))*((x)*((x)*(x))))*((x)-((x)*((x)*(x))))),((x)*((8)*(x))),MultXD|MultXD|SubXD|MultXD|MultXD,AddXD|FellTreeD|AddToLeafR|ReplaceBranchXR|MultXD,MultXD,FellTreeD,94,94,95,95,4
95,x*x*x*x,25,-10,0.04716400708040612,0.001101686054110575,0.058266314023142536,0.003250555482943406,5340016.588133333,360.50479999999993,5347614.267200001,347.352,0.9988305378952003,0.0635733890994641,0,0.0259287653420029,130846480.08,5962.586666666667,130846480.08,5731.68,((((x)*(x))*((x)*((x)*(x))))*((x)-((x)*((x)*(x))))),((x)*((7)*(x))),MultXD|MultXD|SubXD|MultXD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,94,95,96,96,4
96,x*x*x*x,25,-10,0.059929832273712014,0.0009905458981396787,0.059929832273712014,0.0024828127042216736,7850788.8048,361.18506666666667,7850788.8048,352.05119999999994,0.9988305378952003,0.0725918180629984,0,0.027794437605198872,130846480.08,5952.079999999999,130846480.08,5676.48,((((x)*(x))*((x)*((x)*(x))))*((x)-((x)*((x)*(x))))),((x)*((8)*(x))),MultXD|MultXD|SubXD|MultXD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,95,96,97,97,4
97,x*x*x*x,25,-10,0.0597623837042532,0.0009192262449353035,0.059874265886108266,0.003543066265847603,6652838.151733333,361.62160000000006,6769825.796,345.56159999999994,0.9988305378952003,0.0725918180629984,0,0.02577264638042243,130846480.08,5998.026666666668,130846480.08,5676.48,((((x)*(x))*((x)*((x)*(x))))*((x)-((x)*((x)*(x))))),((x)*((8)*(x))),MultXD|MultXD|ReplaceBranchXR|MultXD|MultXD,AddXD|FellTreeD|AddToLeafR|ReplaceBranchXR|MultXD,MultXD,AddToLeafR,97,97,98,98,4
98,x*x*x*x,25,-10,0.059929832273712014,0.001350803816494577,0.059929832273712014,0.003631943536792577,7850788.8048,358.98,7850788.8048,345.0176,0.9988305378952003,0.0635733890994641,0,0.026479802558510124,130846480.08,5919.44,130846480.08,5731.68,((((x)*(x))*((x)*((x)*(x))))*((x)-((x)*((x)*(x))))),((x)*((7)*(x))),MultXD|MultXD|ReplaceBranchXR|MultXD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,97,98,99,99,4
99,x*x*x*x,25,-10,0.059929832273712014,0.0019187034374591578,0.059929832273712014,0.0040849562148738755,7850788.8048,355.504,7850788.8048,342.24479999999994,0.9988305378952003,0.0635733890994641,0,0.026479802558510124,130846480.08,5919.44,130846480.08,5731.68,((((x)*(x))*((x)*((x)*(x))))*((x)-((x)*((x)*(x))))),((x)*((7)*(x))),MultXD|MultXD|SubXD|MultXD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,98,99,99,99,4
